customer_id,first_name,last_name,gender,dob,email,phone,city,state,advisor_id,risk_profile,annual_income,status,source_system,batch_id,load_date,record_created_ts,record_updated_ts
CUST00362,Zinal,Viswanathan,Male,1970-02-18,hemasuri@example.com,9686579303,Chennai,Maharashtra,ADV0012,High,1735228,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:43.675959,2026-07-19
CUST00074,Akshay,Reddy,Female,1955-12-11,shenoyjacob@example.net,9119540831,Pune,Telangana,ADV0007,High,1798575,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:43.650412,2026-07-19
CUST00375,Daniel,Dutta,Female,1956-07-21,lsarma@example.net,9026855092,Hyderabad,Telangana,ADV0015,Low,2136764,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:43.676936,2026-07-19
CUST00156,Jeevika,Rao,Female,1968-10-09,zaid10@example.net,9796233790,Chennai,Tamil Nadu,ADV0015,Low,1116436,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:43.661661,2026-07-19
CUST00105,Hritik,Swaminathan,Male,1991-11-10,fborah@example.com,9295310485,Chennai,Tamil Nadu,ADV0015,High,1522416,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:43.657383,2026-07-19
CUST00395,Wazir,Vaidya,Male,1996-01-11,champak66@example.com,9262950628,Pune,Karnataka,ADV0005,Medium,2394744,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:43.678411,2026-07-19
CUST00378,Yuvraj,Subramaniam,Female,1970-08-04,jdixit@example.net,9239670711,Hyderabad,Maharashtra,ADV0002,Low,3022581,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:43.677141,2026-07-19
CUST00125,Ekantika,Mutti,Male,1959-04-18,singhriya@example.net,9149827706,Hyderabad,Tamil Nadu,ADV0009,Medium,1017319,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:43.659455,2026-07-19
CUST00069,Rajata,Swamy,Male,2006-09-29,apall@example.com,9790779946,Chennai,Telangana,ADV0004,Medium,2685175,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:43.649870,2026-07-19
CUST00451,Thomas,Karpe,Female,1996-12-12,hpandit@example.net,9110053353,Bengaluru,Karnataka,ADV0012,Medium,3047185,Active,Core Banking,BATCH_20260720,2026-07-20,2026-07-16 11:10:43.682269,2026-07-19
